claude-3-5-haiku-20241022|claude-sonnet-4-20250514_jaccard,claude-3-5-haiku-20241022|claude-sonnet-4-20250514_rbo,claude-3-5-haiku-20241022|claude-sonnet-4-20250514_alpha,gpt-4.1-mini|gpt-4.1_jaccard,gpt-4.1-mini|gpt-4.1_rbo,gpt-4.1-mini|gpt-4.1_alpha,claude-3-5-haiku-20241022|gpt-4.1-mini_jaccard,claude-3-5-haiku-20241022|gpt-4.1-mini_rbo,claude-3-5-haiku-20241022|gpt-4.1-mini_alpha,claude-sonnet-4-20250514|gpt-4.1_jaccard,claude-sonnet-4-20250514|gpt-4.1_rbo,claude-sonnet-4-20250514|gpt-4.1_alpha
0.278,0.19,-0.01538461538461533,0.75,0.867,0.3637184115523465,0.24,0.195,-0.03125,0.64,0.693,0.03825136612021862
0.722,0.459,-0.032786885245901676,0.636,0.657,0.09836065573770492,0.632,0.632,0.19293478260869568,0.8,0.59,0.15539305301645334
0.087,0.032,0,0.821,0.364,0.023486901535682003,0.167,0.099,-0.03703703703703698,0.548,0.301,-0.01773049645390068
0.235,0.193,-0.022727272727272707,0.692,0.789,0.2586206896551724,0.174,0.202,-0.022727272727272707,0.52,0.612,0.16907216494845356
0.545,0.259,-0.04761904761904767,0.76,0.622,0.030104712041884918,0.25,0.186,-0.01538461538461533,0.55,0.546,0.06666666666666665
0.786,0.434,0.04977375565610864,0.929,0.4,-0.03833865814696491,0.786,0.313,0.058295964125560484,0.929,0.314,-0.03833865814696491
0.6,0.412,0.3421052631578947,0.667,0.368,-0.03587443946188351,0.462,0.373,-0.05263157894736836,0.467,0.381,0.10256410256410253
0.478,0.422,0.059479553903345694,0.538,0.246,0.03263707571801577,0.391,0.466,0.23048327137546465,0.5,0.539,0.08474576271186451
0.364,0.365,-0.16666666666666674,0.6,0.162,-0.058139534883721034,0.3,0.07,0,0.636,0.276,0.4022988505747127
0.364,0.434,0.44000000000000006,0.8,0.784,1,0.267,0.449,0.44000000000000006,0.917,0.686,0.4298642533936652
0.438,0.137,-0.034482758620689724,0.7,0.513,0.09506398537477145,0.471,0.248,0.10256410256410253,0.684,0.575,0.10663507109004733
0.357,0.259,0.11363636363636365,0.789,0.716,0.165631469979296,0.316,0.245,0.1235955056179775,0.647,0.663,0.2276119402985075
0.056,0.25,0,0.52,0.751,0.31924882629107987,0.067,0.247,0,0.708,0.686,0.14495114006514664
0.692,0.548,0.14864864864864857,0.8,0.644,0.4408945686900958,0.846,0.634,0.14479638009049778,0.667,0.615,0.2432432432432432
0.462,0.388,0.10344827586206895,0.739,0.465,0.14634146341463417,0.389,0.335,0.25287356321839083,0.478,0.478,-0.029850746268656803
0.167,0.19,0.2857142857142857,0.458,0.606,0.12195121951219512,0.059,0.055,0,0.091,0.062,0
0.778,0.44,0.2441860465116279,1,0.651,1,0.7,0.411,0.09302325581395343,0.9,0.568,0.17931034482758623
0.4,0.321,0.16000000000000003,0.8,0.479,0.20353982300884954,0.5,0.241,0.46153846153846156,0.818,0.565,0.37016574585635365
0.333,0.145,-0.03125,0.65,0.366,-0.028368794326241176,0.313,0.151,-0.01538461538461533,0.474,0.325,-0.03825136612021862
0.667,0.244,1,1,0.246,-0.125,0.4,0.307,1,0.6,0.22,-0.25
0.455,0.199,0.08556149732620333,0.704,0.849,0.5905511811023623,0.429,0.232,-0.021505376344086002,0.778,0.859,0.3027027027027027
0.118,0.193,0.2857142857142857,0.8,0.686,0.41637010676156583,0.08,0.19,-0.0714285714285714,0.682,0.705,0.16907216494845356
0.714,0.27,-0.0714285714285714,0.714,0.465,0.5609756097560976,0.714,0.41,0.12195121951219512,0.714,0.338,-0.09756097560975618
0.8,0.206,0.16000000000000003,0.625,0.508,0.55,0.625,0.382,0.32500000000000007,0.8,0.351,0.44000000000000006
0.8,0.273,-0.05263157894736836,0.875,0.556,0.8470588235294118,1,0.562,0.7321428571428572,0.7,0.258,-0.04597701149425282
0.4,0.208,0.2857142857142857,0.667,0.244,1,0.5,0.199,0.6153846153846154,0.5,0.28,1
0.6,0.485,0.29032258064516137,1,0.606,0.3666666666666666,0.6,0.429,0.11290322580645162,1,0.552,0.3666666666666666
0.7,0.434,0.0714285714285714,0.7,0.624,1,0.7,0.593,0.5357142857142857,0.7,0.466,0.0714285714285714
0.222,0.363,1,1,0.19,1,1,0.19,1,0.222,0.363,1
0,0,0,0,0,0,0,0,0,0,0,0
0.571,0.177,-0.07692307692307687,1,0.464,0.38095238095238093,0.571,0.235,-0.07692307692307687,1,0.431,0.5357142857142857
0.286,0.15,-0.034482758620689724,0.545,0.516,0.04123711340206182,0.412,0.33,-0.04347826086956519,0.609,0.567,0.14772727272727282
0.75,0.526,0.06043956043956045,0.871,0.73,0.09240924092409242,0.333,0.422,0.07567567567567568,0.393,0.55,0.07079646017699126
0.357,0.327,0.11016949152542366,0.4,0.361,0.06666666666666665,0.316,0.226,0.23076923076923073,0.467,0.357,0.0625
0.667,0.509,0.6941176470588235,0.7,0.534,0.20353982300884954,0.6,0.462,0.2441860465116279,0.455,0.455,0.34782608695652173
0.545,0.291,-0.08196721311475397,0.625,0.26,-0.031746031746031855,0.462,0.409,0.09836065573770503,0.6,0.424,0.14864864864864857
0.615,0.262,-0.03825136612021862,0.714,0.566,0.14479638009049778,0.643,0.277,-0.03825136612021862,0.692,0.516,0.14864864864864857
0.333,0.165,-0.022727272727272707,0.667,0.565,-0.02372262773722622,0.294,0.218,0.16279069767441856,0.65,0.644,0.179245283018868
0.429,0.525,0.29032258064516137,0.773,0.865,0.7577981651376147,0.273,0.528,0.29032258064516137,0.55,0.696,0.2702702702702703
0.13,0.282,-0.07692307692307687,0.733,0.817,0.06395348837209303,0.148,0.327,0.1923076923076923,0.679,0.711,0.35199138858988166
0.444,0.401,-0.034482758620689724,0.545,0.666,0.21857923497267762,0.389,0.366,-0.025641025641025772,0.591,0.597,0.15846994535519132
0.308,0.13,-0.03125,0.765,0.665,0.4408945686900958,0.278,0.15,-0.01538461538461533,0.714,0.632,0.43497757847533625
0.25,0.235,0.16279069767441856,0.684,0.684,0.11084905660377364,0.222,0.331,0.16279069767441856,0.333,0.433,0.16279069767441856
0.067,0.245,0.4,0.611,0.451,0.11956521739130432,0.143,0.132,0,0.45,0.166,-0.021621621621621623
0.538,0.552,0.3770491803278688,0.706,0.697,0.33787465940054495,0.471,0.583,0.17837837837837833,0.714,0.602,0.16483516483516492
0.429,0.074,-0.03703703703703698,0.6,0.569,0.6941176470588235,0.3,0.178,0.2222222222222222,0.857,0.424,0.2666666666666666
0.571,0.557,0.27322404371584696,0.545,0.771,0.3670886075949368,0.348,0.615,0.2810810810810811,0.563,0.628,0.4831460674157303
0.316,0.255,-0.03125,0.765,0.646,0.24407582938388617,0.313,0.273,-0.04761904761904767,0.789,0.775,0.3815165876777251
0.385,0.463,0.26136363636363635,0.769,0.578,0.4298642533936652,0.462,0.484,0.25287356321839083,0.692,0.534,0.33783783783783783
0.375,0.303,0.10256410256410253,0.563,0.157,-0.02684563758389258,0.263,0.146,-0.025641025641025772,0.438,0.352,-0.03378378378378377
0.286,0.376,0.09482758620689657,0.619,0.727,0.17535545023696675,0.381,0.66,0.16483516483516492,0.353,0.364,0.10256410256410253
0.118,0.025,0,0.609,0.681,0.16000000000000003,0.15,0.126,-0.01538461538461533,0.571,0.412,-0.022012578616352085
0.625,0.682,0.43243243243243246,0.483,0.55,0.1032608695652174,0.423,0.573,0.15999999999999992,0.6,0.638,0.3176470588235294
0.143,0.232,0.16279069767441856,0.385,0.352,0.11363636363636365,0.143,0.01,0,0.286,0.147,0.11363636363636365
0.385,0.412,0.09482758620689657,0.571,0.806,0.48120300751879697,0.381,0.618,0.34782608695652173,0.833,0.574,0.16022099447513816
0.538,0.114,-0.022471910112359605,0.545,0.52,0.3421052631578947,0.231,0.247,0.13333333333333341,0.5,0.323,-0.05263157894736836
0.438,0.513,0.21739130434782616,0.429,0.402,0.25117370892018787,0.211,0.431,0.10256410256410253,0.429,0.507,0.18309859154929575
0.2,0.078,-0.011111111111111072,0.789,0.636,0.037267080745341574,0.353,0.441,0.09302325581395343,0.45,0.213,0.16371681415929207
0.333,0.085,0,0.6,0.463,-0.024793388429751984,0.208,0.298,-0.04651162790697683,0.5,0.171,0.2533333333333333
0.08,0.139,-0.022727272727272707,0.8,0.65,0.3969795037756203,0.12,0.179,-0.022727272727272707,0.63,0.581,0.0742734122712595
0,0,0,0.909,0.898,0.897503285151117,0,0,0,0.1,0.403,1
0.5,0.377,0.08695652173913049,0.333,0.246,-0.04651162790697683,0.533,0.349,-0.04347826086956519,0.5,0.426,0.1428571428571429
0.222,0.297,0.46153846153846156,0.429,0.18,-0.04347826086956519,0.231,0.052,0,0.667,0.482,0.388235294117647
0.278,0.095,-0.011111111111111072,0.75,0.566,0.0811518324607331,0.35,0.152,-0.011111111111111072,0.583,0.36,-0.020576131687242816
0.45,0.275,-0.03125,0.591,0.515,0.10699588477366262,0.688,0.554,-0.04054054054054057,0.762,0.447,-0.026058631921824116
0.263,0.194,-0.022727272727272707,0.72,0.779,0.17417061611374407,0.238,0.144,-0.022727272727272707,0.708,0.721,0.14078374455732945
0.263,0.135,-0.01538461538461533,0.583,0.572,0.039256198347107474,0.294,0.148,-0.01538461538461533,0.739,0.655,0.0325203252032521
0.769,0.665,0.43243243243243246,0.625,0.206,-0.04651162790697683,0.583,0.598,0.4690265486725663,0.417,0.32,-0.0714285714285714
0.267,0.149,0.2222222222222222,0.591,0.599,0.15846994535519132,0.05,0.036,0,0.65,0.54,0.04245283018867929
0.235,0.35,0.46153846153846156,0.7,0.729,0.336380255941499,0.235,0.345,0.46153846153846156,0.789,0.771,0.3351648351648352
0.333,0.368,0.09482758620689657,0.667,0.786,0.24778761061946908,0.292,0.426,-0.025641025641025772,0.296,0.479,0.22413793103448276
0.333,0.147,-0.0714285714285714,0.571,0.726,0.26430517711171664,0.158,0.133,0,0.533,0.531,0.18493150684931503
0.375,0.2,-0.07692307692307687,0.563,0.628,0.6233183856502242,0.125,0.287,0.2222222222222222,0.385,0.414,-0.058139534883721034
0.684,0.336,-0.03833865814696491,0.65,0.661,0.165631469979296,0.667,0.609,0.36305732484076436,0.591,0.348,0.23140495867768596
0.5,0.266,0.06849315068493145,0.789,0.292,0.03526970954356845,0.421,0.466,-0.04081632653061229,0.75,0.465,0.048872180451127845
0.688,0.336,0.20634920634920628,0.792,0.665,0.07874015748031504,0.65,0.285,0.04761904761904756,0.609,0.525,0.04619565217391308
0.474,0.277,-0.025236593059936974,0.792,0.209,-0.021352313167259718,0.522,0.25,-0.025236593059936974,0.565,0.319,-0.0235294117647058
0.538,0.365,-0.047945205479452024,0.625,0.575,0.527027027027027,0.333,0.21,-0.03378378378378377,0.529,0.324,-0.03587443946188351
0.364,0.219,-0.04761904761904767,0.741,0.374,0.028436018957346043,0.231,0.193,-0.04761904761904767,0.364,0.544,0.19047619047619047
0.4,0.32,0.1235955056179775,0.737,0.549,0.10144927536231885,0.353,0.2,-0.022471910112359605,0.722,0.421,0.040983606557376984
0.647,0.71,0.30827067669172936,0.75,0.762,0.2925311203319503,0.632,0.686,0.2247191011235955,0.778,0.735,0.48547717842323657
0.722,0.561,0.4515366430260047,0.778,0.569,0.17535545023696675,0.737,0.65,0.3568464730290457,0.765,0.527,0.5876777251184834
0.455,0.197,-0.04651162790697683,0.588,0.658,0.22180451127819545,0.25,0.18,-0.022727272727272707,0.643,0.393,-0.03587443946188351
0.5,0.628,0.4217687074829931,0.682,0.669,0.1673553719008265,0.429,0.607,0.31081081081081074,0.722,0.721,0.3144208037825059
0.571,0.602,0.21052631578947367,0.792,0.826,0.2448979591836734,0.421,0.68,0.3421052631578947,0.52,0.678,0.19293478260869568
0.375,0.547,0.2441860465116279,0.636,0.649,0.040983606557376984,0.5,0.512,0.09302325581395343,0.609,0.563,0.04470588235294115
0.421,0.455,0.08695652173913049,0.76,0.79,0.1299212598425198,0.333,0.505,0.07894736842105254,0.773,0.538,0.029154518950437303
0.625,0.456,0.05405405405405406,0.464,0.327,0.08840579710144925,0.579,0.396,-0.03587443946188351,0.423,0.36,-0.02594339622641506
0.273,0.059,0,0.833,0.602,0.2692307692307693,0.3,0.127,-0.0714285714285714,0.769,0.529,0.33484162895927605
0.154,0.242,-0.19999999999999996,0.643,0.645,0.4137931034482758,0.143,0.218,-0.19999999999999996,0.375,0.533,0.19047619047619047
0,0,0,0.538,0.517,0.03649635036496346,0,0,0,0.5,0.297,-0.028481012658227778
0.6,0.296,-0.03825136612021862,0.667,0.737,0.18324607329842935,0.429,0.317,-0.027027027027026973,0.478,0.656,0.41463414634146334
0.429,0.179,-0.017621145374449254,0.567,0.553,0.08235294117647063,0.476,0.337,-0.022123893805309658,0.586,0.33,-0.020319303338171224
0.4,0.515,0.0872483221476511,0.821,0.719,0.2027559055118111,0.321,0.474,0.07482993197278909,0.68,0.548,0.03197674418604646
0.364,0.179,-0.03703703703703698,0.917,0.552,0.14479638009049778,0.333,0.088,0,0.692,0.415,-0.04054054054054057
0.278,0.418,0.10344827586206895,0.64,0.734,0.43089430894308944,0.304,0.576,0.25287356321839083,0.545,0.549,0.10515463917525769
0.538,0.358,0.06849315068493145,0.708,0.589,0.0844250363901019,0.409,0.413,-0.02684563758389258,0.579,0.4,0.05405405405405406
0.471,0.703,0.4690265486725663,0.692,0.724,0.18217562254259512,0.4,0.064,0,0.64,0.149,-0.02372262773722622
0.2,0.355,0.2857142857142857,0.69,0.255,0.027987082884822434,0.111,0.252,-0.0714285714285714,0.423,0.426,0.04694835680751175
0.15,0.128,-0.01538461538461533,0.409,0.451,0.11502347417840375,0.222,0.304,0.15384615384615385,0.524,0.346,-0.0235294117647058
0.429,0.336,-0.08196721311475397,0.619,0.429,0.22981366459627328,0.333,0.323,-0.06451612903225801,0.667,0.441,-0.02717391304347827
0.333,0.096,-0.011111111111111072,0.765,0.409,0.12698412698412698,0.333,0.125,-0.011111111111111072,0.625,0.299,0.20634920634920628
0.643,0.546,0.24663677130044837,0.579,0.522,-0.02717391304347827,0.556,0.568,0.2333333333333334,0.667,0.451,-0.03587443946188351
0.3,0.331,0.2857142857142857,0.857,0.59,0.21886792452830195,0.25,0.32,0.2857142857142857,0.714,0.526,0.06043956043956045
0.6,0.761,0.2773722627737226,0.821,0.794,0.2350813743218806,0.63,0.753,0.15693430656934304,0.808,0.746,0.1576354679802956
0.357,0.185,-0.01538461538461533,0.8,0.768,0.27472527472527475,0.353,0.219,0.15384615384615385,0.684,0.537,0.12420382165605104
0.071,0.032,0,0.722,0.522,0.043596730245231696,0.059,0.001,0,0.75,0.491,0.33606557377049184
0.045,0.106,-0.0714285714285714,0.8,0.713,0.15424311926605505,0.1,0.195,-0.0714285714285714,0.606,0.732,0.08235294117647063
0.318,0.431,0.20134228187919467,0.92,0.535,0.20039486673247786,0.308,0.367,-0.03378378378378377,0.72,0.459,0.030104712041884918
0.786,0.601,0.14864864864864857,0.813,0.544,0.03835616438356171,0.733,0.496,0.058295964125560484,0.867,0.523,0.03835616438356171
0.222,0.209,-0.15384615384615374,0.643,0.469,0.058295964125560484,0.273,0.163,-0.0714285714285714,0.538,0.579,0.3421052631578947
0.353,0.056,0,0.765,0.713,0.28115015974440893,0.412,0.078,0,0.706,0.486,0.04761904761904756
0.533,0.3,-0.032608695652173836,0.857,0.502,0.1320754716981133,0.5,0.391,0.1693989071038251,0.786,0.379,0.1320754716981133
0.364,0.172,-0.04651162790697683,0.778,0.679,0.09958506224066388,0.235,0.148,-0.022727272727272707,0.529,0.562,0.27717391304347827
0.364,0.284,-0.0714285714285714,0.647,0.692,0.2834394904458599,0.333,0.319,-0.0714285714285714,0.769,0.491,0.27322404371584696
0.733,0.601,0.048872180451127845,0.643,0.657,0.43243243243243246,0.846,0.698,0.5660377358490567,0.563,0.584,0.2432432432432432
0.545,0.254,0.11290322580645162,0.722,0.673,0.11475409836065575,0.333,0.356,-0.06451612903225801,0.4,0.483,0.058295964125560484
0.333,0.134,0.1235955056179775,0.619,0.587,0.15693430656934304,0.412,0.227,0.26136363636363635,0.579,0.359,0.129746835443038
0.786,0.325,-0.045248868778280604,0.857,0.663,0.1897810218978102,0.476,0.499,0.0625,0.737,0.381,0.040983606557376984
0.778,0.27,0.20353982300884954,0.455,0.103,0.08695652173913049,0.6,0.208,0.07894736842105254,0.778,0.429,0.33628318584070793
0.545,0.403,0.3421052631578947,0.462,0.316,-0.04081632653061229,0.5,0.42,0.09482758620689657,0.8,0.491,0.4137931034482758
0.25,0.118,0,0.462,0.591,0.467741935483871,0.154,0.215,0.4,0.556,0.313,0.11290322580645162
0.182,0.16,0,0.5,0.84,1,0.091,0.139,0,0.833,0.533,0.23981900452488691
0.235,0.319,0.11363636363636365,0.88,0.663,0.06804733727810652,0.25,0.313,-0.022471910112359605,0.583,0.708,0.12195121951219512
0.389,0.204,-0.022471910112359605,0.636,0.362,0.21052631578947367,0.545,0.258,-0.058139534883721034,0.444,0.554,0.21739130434782616
0.333,0.083,0,0.778,0.738,0.3144208037825059,0.235,0.181,0.2222222222222222,0.688,0.552,0.21886792452830195
0.462,0.469,0.11290322580645162,0.4,0.488,0.1352201257861636,0.462,0.57,0.6451612903225807,0.556,0.453,0.04761904761904756
0.353,0.483,0.19594594594594583,0.65,0.469,0.10144927536231885,0.316,0.496,0.31081081081081074,0.476,0.408,0.12432432432432439
0.429,0.508,0.39534883720930225,0.654,0.65,0.09531502423263338,0.231,0.585,0.08235294117647052,0.722,0.635,0.04761904761904756
0.286,0.174,-0.03703703703703698,0.483,0.277,-0.012244897959183598,0.148,0.264,0.2222222222222222,0.765,0.601,0.19073569482288832
0.8,0.534,0.07079646017699115,1,0.582,0.26111111111111107,0.8,0.511,0.20353982300884954,1,0.547,0.04999999999999993
0.273,0.254,0.2857142857142857,0.667,0.472,0.05405405405405406,0.273,0.044,0,0.667,0.32,0.058295964125560484
0.474,0.467,0.2879746835443038,0.783,0.759,0.24709302325581384,0.6,0.685,0.2879746835443038,0.609,0.508,-0.016355140186915973
0.667,0.666,0.11956521739130432,0.818,0.783,0.18110236220472453,0.545,0.552,0.11956521739130432,0.783,0.634,0.23328964613368286
0.077,0.04,0,0.75,0.383,0.13857677902621712,0.063,0.013,0,0.563,0.302,-0.029850746268656803
0.25,0.145,-0.011111111111111072,0.917,0.758,0.24481737413622906,0.304,0.072,0,0.769,0.571,0.11330049261083752
0.786,0.412,0.048872180451127845,0.409,0.556,0.14498141263940512,0.524,0.501,0.13793103448275856,0.5,0.328,-0.029850746268656803
0.25,0.263,0.4,0.364,0.391,0.4022988505747127,0.111,0.227,0.4,0.5,0.347,0.10344827586206895
0.7,0.494,0.20353982300884954,0.579,0.616,0.11956521739130432,0.5,0.519,0.08695652173913049,0.533,0.448,0.08108108108108103
0.333,0.162,-0.01538461538461533,0.826,0.479,0.028833551769331667,0.3,0.209,-0.03125,0.739,0.604,0.03094462540716625
0.727,0.509,0.21052631578947367,0.909,0.593,0.16022099447513816,0.727,0.462,0.20353982300884954,0.75,0.575,0.26519337016574596
0.5,0.376,0.12195121951219512,0.529,0.522,0.14864864864864857,0.333,0.513,0.3414634146341463,0.385,0.428,0.11363636363636365
0.308,0.426,0.46153846153846156,0.857,0.675,0.30827067669172936,0.333,0.083,0,0.688,0.391,0.12698412698412698
0.5,0.224,-0.04761904761904767,0.667,0.278,-0.029972752043596618,0.333,0.276,0.12698412698412698,0.389,0.306,-0.03378378378378377
0.4,0.432,0.12698412698412698,0.81,0.739,0.26016260162601634,0.3,0.295,-0.04761904761904767,0.571,0.524,0.18117647058823527
0.235,0.153,-0.022727272727272707,0.583,0.748,0.31818181818181823,0.25,0.217,-0.022727272727272707,0.7,0.612,0.09958506224066388
0.286,0.44,0.12698412698412698,0.593,0.653,0.12662721893491125,0.273,0.212,-0.03125,0.5,0.315,-0.016528925619834656
0.375,0.183,-0.025641025641025772,0.684,0.577,0.3127962085308057,0.353,0.222,0.10256410256410253,0.476,0.445,-0.024390243902439046
0.273,0.346,0.37209302325581395,0.68,0.581,0.03197674418604646,0.12,0.286,0.18181818181818188,0.333,0.55,0.19594594594594583
0.625,0.435,0.05405405405405406,0.692,0.575,0.2432432432432432,0.625,0.386,-0.03587443946188351,0.833,0.561,0.14479638009049778
0.286,0.135,-0.011111111111111072,0.833,0.864,0.2083926031294452,0.207,0.12,-0.011111111111111072,0.679,0.559,-0.018276762402088753
0.75,0.428,0.388235294117647,0.643,0.338,0.14864864864864857,0.5,0.287,0.09302325581395343,0.357,0.382,-0.04597701149425282
0.471,0.516,0.2692307692307693,0.84,0.649,0.02366863905325456,0.435,0.674,0.3770491803278688,0.652,0.607,0.18501170960187352
0.526,0.49,-0.03587443946188351,0.769,0.836,0.25701943844492436,0.458,0.518,0.06666666666666665,0.739,0.516,0.03409090909090917
0.4,0.291,0.2222222222222222,0.733,0.611,0.15246636771300448,0.25,0.163,-0.03703703703703698,0.667,0.406,0.07567567567567568
0.5,0.382,0.2441860465116279,0.6,0.275,-0.0235294117647058,0.412,0.336,-0.04597701149425282,0.533,0.515,0.21739130434782616
0.238,0.141,-0.03125,0.704,0.648,0.2853403141361257,0.185,0.15,-0.03125,0.667,0.688,0.13219895287958117
0.588,0.509,0.13857677902621712,0.842,0.648,0.15384615384615397,0.5,0.655,0.13857677902621712,0.684,0.489,-0.028368794326241176
0.722,0.64,0.33606557377049184,0.9,0.654,0.03094462540716625,0.7,0.646,0.11956521739130432,0.944,0.772,0.2733944954128441
0.438,0.256,0.07065217391304346,0.429,0.217,-0.01845018450184499,0.375,0.512,0.17837837837837833,0.464,0.56,0.14330218068535827
0.273,0.137,-0.0714285714285714,0.731,0.758,0.16594827586206895,0.136,0.093,0,0.417,0.593,0.15999999999999992
0.412,0.265,-0.025641025641025772,0.75,0.555,0.04761904761904756,0.533,0.55,0.07894736842105254,0.706,0.611,0.2834394904458599
0.438,0.339,0.15625,0.87,0.462,-0.02378121284185486,0.391,0.567,0.15625,0.545,0.456,-0.029850746268656803
0.318,0.072,0,0.286,0.077,-0.006578947368421018,0.545,0.335,0.07894736842105254,0.56,0.643,0.14772727272727282
0.333,0.372,0.11363636363636365,0.529,0.206,-0.026022304832713727,0.235,0.387,0.11363636363636365,0.706,0.255,-0.029850746268656803
0.769,0.601,0.23981900452488691,0.778,0.696,0.24407582938388617,0.647,0.75,0.7149321266968326,0.8,0.706,0.4831460674157303
0.583,0.567,0.4690265486725663,0.667,0.521,-0.04972375690607733,0.533,0.393,-0.04347826086956519,0.75,0.515,0.16483516483516492
0.467,0.301,0.07894736842105254,0.556,0.564,0.03197674418604646,0.348,0.65,0.48275862068965514,0.65,0.303,0.04619565217391308
0.6,0.721,0.22180451127819545,0.792,0.839,0.3858267716535434,0.522,0.702,0.39925373134328357,0.667,0.711,0.13219895287958117
0.556,0.512,-0.04054054054054057,0.667,0.697,0.3608247422680412,0.5,0.601,0.33783783783783783,0.636,0.469,-0.02372262773722622
0.368,0.259,-0.022123893805309658,0.632,0.663,0.2663043478260869,0.316,0.278,-0.022123893805309658,0.882,0.409,0.03791469194312791
0.316,0.608,0.5465116279069767,0.652,0.671,0.0857558139534883,0.3,0.618,0.5465116279069767,0.609,0.671,0.03565640194489472
0.625,0.265,0.11290322580645162,0.542,0.365,-0.021857923497267784,0.238,0.047,0,0.333,0.312,-0.058139534883721034
0.278,0.398,0.08064516129032251,0.875,0.701,0.44893111638954875,0.667,0.647,0.27717391304347827,0.556,0.496,0.3670886075949368
0.591,0.487,-0.021126760563380254,0.588,0.745,0.6199095022624435,0.632,0.363,0.04245283018867929,0.55,0.585,-0.045248868778280604
0.2,0.195,-0.0714285714285714,0.556,0.403,0.04761904761904756,0.2,0.268,-0.15384615384615374,0.75,0.378,0.04153354632587858
0.182,0.054,0,0.75,0.692,0.30827067669172936,0.188,0.055,0,0.833,0.534,0.16483516483516492
0.778,0.261,0.20353982300884954,0.571,0.325,0.16000000000000003,0.667,0.5,0.23529411764705876,0.5,0.287,0.16000000000000003
0,0,0,0.75,0.445,-0.0269151138716357,0,0,0,0.45,0.655,0.1693989071038251
0.545,0.516,0.08235294117647052,0.737,0.659,0.17730496453900713,0.389,0.532,0.25287356321839083,0.563,0.51,0.07065217391304346
0.467,0.416,0.21739130434782616,0.762,0.67,0.2032520325203253,0.3,0.344,-0.04347826086956519,0.65,0.391,-0.02717391304347827
0.722,0.255,0.04761904761904756,0.808,0.783,0.21058315334773214,0.522,0.324,0.05362776025236593,0.654,0.769,0.31818181818181823
0.19,0.127,0,0.762,0.549,0.034734917733089454,0.2,0.254,-0.07692307692307687,0.727,0.383,-0.025594149908592323
0.714,0.386,-0.03587443946188351,0.842,0.327,-0.031185031185031242,0.579,0.372,-0.03125,0.706,0.539,0.2088607594936709
